Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
10.06.2021,1,,0.005,,,0.002
10.06.2021,7,0.07,,0.4,0.05,0.005
10.06.2021,13,,0.015,,,0.009
10.06.2021,19,0.07,,0.7,0.07,0.007
11.06.2021,1,,0.005,,,0.003
11.06.2021,7,0.07,,0.8,0.04,0.004
11.06.2021,13,,0.015,,,0.008
11.06.2021,19,0.07,,1.7,0.06,0.007
12.06.2021,1,,0.003,,,0.002
12.06.2021,7,0.07,,0.6,0.03,0.003
12.06.2021,13,,0.012,,,0.011
12.06.2021,19,0.07,,0.9,0.09,0.009
14.06.2021,1,,0.007,,,0.001
14.06.2021,7,0.07,,1.03,0.11,0.005
