Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Фтористий водень,Хлористий водень,Формальдегід


2022.02.23,01,,0.014,,0.11,0.000,,0.005
2022.02.23,07,0.17,,1.0,,0.001,0.028,0.006
2022.02.23,13,,,,,,,
2022.02.23,19,,,,,,,
2022.02.22,01,,0.011,,0.09,0.000,,0.004
2022.02.22,07,0.17,,1.6,,0.001,0.036,0.007
2022.02.22,13,,0.027,,0.25,0.001,,0.014
2022.02.22,19,0.17,,1.8,,0.001,0.087,0.011
2022.02.21,01,,0.014,,0.10,0.000,,0.003
2022.02.21,07,0.17,,1.1,,0.001,0.046,0.007
2022.02.21,13,,0.029,,0.20,0.001,,0.012
2022.02.21,19,0.18,,2.1,,0.001,0.103,0.009
2022.02.19,01,,0.014,,0.12,0.000,,0.004
2022.02.19,07,0.17,,1.1,,0.001,0.034,0.005
2022.02.19,13,,0.025,,0.24,0.001,,0.013
2022.02.19,19,0.18,,1.2,,0.001,0.094,0.010
