Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Оксид азоту,Фтористий водень,Аміак,Формальдегід


2021.07.30,01,,0.005,,0.09,0.06,0.000,,0.006
2021.07.30,07,0.018,,2.3,0.11,0.07,0.001,0.00,0.008
2021.07.30,13,,,,,,,,
2021.07.30,19,,,,,,,,
2021.07.29,01,,0.005,,0.10,0.06,0.000,,0.005
2021.07.29,07,0.11,0.018,3.3,0.13,0.08,0.001,0.00,0.010
2021.07.29,13,,0.020,,0.19,0.12,0.002,,0.020
2021.07.29,19,0.08,0.019,4.9,0.25,0.17,0.002,0.01,0.017
2021.07.28,01,,0.005,,0.10,0.06,0.000,,0.003
2021.07.28,07,0.11,0.018,1.5,0.11,0.07,0.001,0.00,0.007
2021.07.28,13,,0.017,,0.17,0.11,0.002,,0.020
2021.07.28,19,0.08,0.020,4.6,0.25,0.16,0.001,0.01,0.019
2021.07.27,01,,0.005,,0.08,0.05,0.000,,0.004
2021.07.27,07,0.11,0.016,2.5,0.09,0.06,0.001,0.00,0.007
2021.07.27,13,,0.020,,0.14,0.09,0.002,,0.017
2021.07.27,19,0.08,0.019,3.5,0.19,0.12,0.002,0.01,0.014
2021.07.26,01,,0.005,,0.09,0.06,0.001,,0.005
2021.07.26,07,0.07,0.016,1.8,0.11,0.07,0.001,0.00,0.009
2021.07.26,13,,0.020,,0.17,0.11,0.002,,0.015
2021.07.26,19,0.07,0.018,3.4,0.24,0.15,0.002,0.01,0.013
2021.07.24,01,,0.007,,0.11,0.07,0.000,,0.003
2021.07.24,07,0.07,0.013,1.3,0.13,0.08,0.001,0.00,0.008
2021.07.24,13,,0.017,,0.18,0.12,0.002,,0.018
2021.07.24,19,0.11,0.018,1.6,0.25,0.12,0.002,0.01,0.014
