Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
25.11.2021,1,,0.002,,0.01,0.001
25.11.2021,7,0.07,0.005,0.2,0.02,0.002
25.11.2021,13,,0.009,,0.02,0.004
25.11.2021,19,0.07,0.006,0.5,0.03,0.003
26.11.2021,1,,0.000,,0.00,0.000
26.11.2021,7,0.07,0.003,0.3,0.01,0.002
26.11.2021,13,,0.014,,0.02,0.005
26.11.2021,19,0.07,0.011,0.5,0.03,0.004
27.11.2021,1,,0.002,,0.01,0.001
27.11.2021,7,0.07,0.005,0.2,0.02,0.002
27.11.2021,13,,0.008,,0.02,0.006
27.11.2021,19,0.07,0.010,0.4,0.02,0.003
29.11.2021,1,,0.000,,0.00,0.002
29.11.2021,7,0.07,0.002,0.3,0.01,0.003
29.11.2021,13,,0.011,,0.02,0.005
29.11.2021,19,0.07,0.016,0.2,0.02,0.004
30.11.2021,1,,0.003,,0.01,0.000
30.11.2021,7,0.07,0.006,0.2,0.02,0.001
