Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Фтористий водень,Хлористий водень,Формальдегід


2021.11.16,01,,0.021,,0.09,0.000,,0.002
2021.11.16,07,0.17,,1.4,,0.001,0.039,0.005
2021.11.16,13,,,,,,,
2021.11.16,19,,,,,,,
2021.11.15,01,,0.020,,0.10,0.001,,0.002
2021.11.15,07,0.17,,2.2,,0.001,0.048,0.006
2021.11.15,13,,0.024,,0.21,0.002,,0.009
2021.11.15,19,0.17,,2.4,,0.001,0.102,0.008
2021.11.13,01,,0.015,,0.09,0.001,,0.003
2021.11.13,07,0.17,,1.8,,0.001,0.052,0.005
2021.11.13,13,,0.023,,0.22,0.001,,0.012
2021.11.13,19,0.17,,1.9,,0.001,0.113,0.008
2021.11.12,01,,0.018,,0.08,0.000,,0.002
2021.11.12,07,0.17,,2.0,,0.001,0.041,0.005
2021.11.12,13,,0.025,,0.26,0.001,,0.011
2021.11.12,19,0.17,,3.1,,0.001,0.101,0.009
2021.11.11,01,,0.015,,0.08,0.000,,0.002
2021.11.11,07,0.17,,1.7,,0.001,0.036,0.003
2021.11.11,13,,0.023,,0.23,0.001,,0.015
2021.11.11,19,0.17,,2.6,,0.001,0.094,0.007
2021.11.10,01,,0.017,,0.07,0.000,,0.002
2021.11.10,07,0.17,,1.8,,0.001,0.024,0.004
2021.11.10,13,,0.026,,0.24,0.001,,0.010
2021.11.10,19,0.17,,2.5,,0.001,0.085,0.008
