Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
27.01.2022,1,,0.011,,0.00,0.000
27.01.2022,7,0.07,0.016,0.2,0.01,0.002
27.01.2022,13,,0.019,,0.02,0.006
27.01.2022,19,0.07,0.016,0.5,0.01,0.004
28.01.2022,1,,0.008,,0.00,0.001
28.01.2022,7,0.07,0.014,0.2,0.01,0.002
28.01.2022,13,,0.017,,0.02,0.005
28.01.2022,19,0.07,0.016,0.4,0.01,0.003
29.01.2022,1,,0.009,,0.00,0.000
29.01.2022,7,0.07,0.016,0.2,0.01,0.002
29.01.2022,13,,0.018,,0.01,0.004
31.01.2022,1,,0.009,,0.00,0.000
31.01.2022,7,0.07,0.014,0.2,0.01,0.001
31.01.2022,13,,0.017,,0.02,0.003
31.01.2022,19,0.07,0.016,0.3,0.01,0.002
01.02.2022,1,,0.008,,0.01,0.001
01.02.2022,7,0.07,0.014,0.2,0.01,0.002
