Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
24.01.2022,1,,0.008,,0.00,0.001
24.01.2022,7,0.07,0.014,0.2,0.01,0.002
24.01.2022,13,,0.018,,0.02,0.003
24.01.2022,19,0.10,0.015,0.5,0.01,0.002
25.01.2022,1,,0.011,,0.00,0.000
25.01.2022,7,0.07,0.015,0.3,0.01,0.001
25.01.2022,13,,0.022,,0.02,0.005
25.01.2022,19,0.07,0.019,0.4,0.01,0.003
26.01.2022,1,,0.009,,0.01,0.002
26.01.2022,7,0.07,0.014,0.3,0.01,0.004
26.01.2022,13,,0.017,,0.02,0.005
26.01.2022,19,0.07,0.016,0.4,0.02,0.002
27.01.2022,1,,0.011,,0.00,0.000
27.01.2022,7,0.07,0.016,0.2,0.01,0.002
