Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Оксид азоту,Фтористий водень,Аміак,Формальдегід


2021.07.02,01,,0.005,,0.10,0.06,0.000,,0.003
2021.07.02,07,0.15,0.012,2.1,0.11,0.07,0.001,0.01,0.007
2021.07.02,13,,,,,,,,
2021.07.02,19,,,,,,,,
2021.07.01,01,,0.010,,0.11,0.07,0.001,,0.004
2021.07.01,07,0.11,0.018,2.6,0.12,0.08,0.002,0.01,0.007
2021.07.01,13,,0.019,,0.19,0.12,0.002,,0.015
2021.07.01,19,0.19,0.017,3.4,0.24,0.15,0.002,0.01,0.012
2021.06.30,01,,0.007,,0.10,0.06,0.000,,0.003
2021.06.30,07,0.07,0.016,1.4,0.12,0.07,0.001,0.00,0.006
2021.06.30,13,,0.020,,0.16,0.10,0.003,,0.014
2021.06.30,19,0.08,0.022,4.1,0.25,0.16,0.002,0.01,0.013
2021.06.29,01,,0.008,,0.11,0.07,0.000,,0.003
2021.06.29,07,0.07,0.021,1.7,0.33,0.21,0.001,0.00,0.007
2021.06.29,13,,0.020,,0.40,0.26,0.002,,0.012
2021.06.29,19,0.11,0.023,2.8,0.51,0.33,0.002,0.01,0.011
