Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
17.02.2022,1,,0.009,,,0.002
17.02.2022,7,0.07,,0.4,0.07,0.005
17.02.2022,13,,0.022,,,0.010
17.02.2022,19,0.07,,1.1,0.14,0.010
18.02.2022,1,,0.010,,,0.002
18.02.2022,7,0.07,,1.4,0.05,0.004
18.02.2022,13,,0.022,,,0.009
18.02.2022,19,0.07,,2.5,0.16,0.007
19.02.2022,1,,0.008,,,0.001
19.02.2022,7,0.07,,0.5,0.08,0.005
19.02.2022,13,,0.017,,,0.009
19.02.2022,19,0.07,,0.6,0.13,0.006
21.02.2022,1,,0.009,,,0.002
21.02.2022,7,-,,0.5,0.07,0.004
