Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
20.12.2021,1,,0.008,,0.01,0.000
20.12.2021,7,0.07,0.013,0.4,0.01,0.001
20.12.2021,13,,0.014,,0.02,0.002
20.12.2021,19,0.07,0.012,0.4,0.01,0.004
21.12.2021,1,,0.009,,0.00,0.000
21.12.2021,7,0.07,0.014,0.2,0.01,0.002
21.12.2021,13,,0.016,,0.01,0.003
21.12.2021,19,0.07,0.012,0.1,0.01,0.002
22.12.2021,1,,0.008,,0.00,0.000
22.12.2021,7,0.07,0.012,0.2,0.01,0.001
22.12.2021,13,,0.016,,0.01,0.003
22.12.2021,19,0.07,0.014,0.2,0.01,0.002
23.12.2021,1,,0.009,,0.00,0.000
23.12.2021,7,0.06,0.015,0.1,0.01,0.001
23.12.2021,13,,0.015,,0.02,0.004
23.12.2021,19,0.07,0.014,0.2,0.01,0.003
24.12.2021,1,,0.008,,0.000,0.000
24.12.2021,7,0.07,0.012,0.2,0.01,0.002
