Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Фтористий водень,Хлористий водень,Формальдегід


2022.08.05,01,,0.005,,0.05,0.000,,0.004
2022.08.05,07,0.15,,1.3,,0.001,0.036,0.006
2022.08.05,13,,,,,,,
2022.08.05,19,,,,,,,
2022.08.04,01,,0.005,,0.05,0.000,,0.003
2022.08.04,07,0.15,,1.2,,0.001,0.046,0.005
2022.08.04,13,,0.013,,0.14,0.001,,0.014
2022.08.04,19,0.11,,2.3,,0.001,0.108,0.009
2022.08.03,01,,0.005,,0.07,0.000,,0.004
2022.08.03,07,0.11,,0.5,,0.001,0.030,0.006
2022.08.03,13,,0.013,,0.17,0.001,,0.016
2022.08.03,19,0.15,,1.6,,0.001,0.097,0.11
2022.08.02,01,,0.005,,0.06,0.000,,0.005
2022.08.02,07,0.11,,0.6,,0.000,0.036,0.007
2022.08.02,13,,0.015,,0.12,0.000,,0.017
2022.08.02,19,0.18,,0.6,,0.001,0.105,0.012
2022.08.01,01,,0.005,,0.07,0.001,,0.006
2022.08.01,07,0.15,,2.4,,0.001,0.046,0.009
2022.08.01,13,,0.017,,0.14,0.001,,0.019
2022.08.01,19,0.15,,1.6,,0.001,0.114,0.014
