Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Оксид азоту,Фтористий водень,Аміак,Формальдегід


2021.09.22,01,,0.005,,0.09,0.05,0.000,,0.000
2021.09.22,07,0.11,0.009,1.4,0.11,0.07,0.000,0.00,0.002
2021.09.22,13,,,,,,,,
2021.09.22,19,,,,,,,,
2021.09.21,01,,0.003,,0.08,0.05,0.000,,0.002
2021.09.21,07,0.11,0.013,1.4,0.09,0.06,0.001,0.00,0.004
2021.09.21,13,,0.020,,0.17,0.11,0.001,,0.006
2021.09.21,19,0.07,0.013,1.7,0.24,0.15,0.001,0.01,0.008
2021.09.20,01,,0.005,,0.09,0.06,0.000,,0.016
2021.09.20,07,0.07,0.016,1.8,0.11,0.07,0.001,0.00,0.005
2021.09.20,13,,0.022,,0.15,0.09,0.001,,0.007
2021.09.20,19,0.07,0.018,1.6,0.23,0.14,0.001,0.01,0.009
2021.09.18,01,,0.007,,0.10,0.06,0.000,,0.004
2021.09.18,07,0.07,0.016,1.3,0.11,0.07,0.001,0.00,0.007
2021.09.18,13,,0.022,,0.17,0.11,0.001,,0.010
2021.09.18,19,0.11,0.020,2.0,0.20,0.12,0.001,0.01,0.013
2021.09.17,01,,0.006,,0.09,0.05,0.000,,0.002
2021.09.17,07,0.07,0.013,2.5,0.11,0.06,0.001,0.00,0.005
2021.09.17,13,,0.018,,0.15,0.09,0.001,,0.009
2021.09.17,19,0.15,0.016,3.0,0.21,0.13,0.001,0.01,0.013
2021.09.16,01,,0.005,,0.09,0.06,0.000,,0.002
2021.09.16,07,0.07,0.014,2.3,0.12,0.08,0.001,0.01,0.006
2021.09.16,13,,0.023,,0.19,0.12,0.002,,0.011
2021.09.16,19,0.07,0.018,3.4,0.25,0.15,0.001,0.01,0.017
