Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
09.06.2022,1,,0.008,,0.01,0.002
09.06.2022,7,0.07,0.012,0.5,0.01,0.005
09.06.2022,13,,0.019,,0.02,0.009
09.06.2022,19,0.08,0.015,0.6,0.03,0.005
10.06.2022,1,,0.012,,0.01,0.003
10.06.2022,7,0.07,0.015,0.5,0.01,0.005
10.06.2022,13,,0.017,,0.02,0.010
10.06.2022,19,0.07,0.012,0.6,0.03,0.007
11.06.2022,1,,0.008,,0.00,0.002
11.06.2022,7,0.07,0.013,0.3,0.01,0.006
11.06.2022,13,,0.018,,0.02,0.009
11.06.2022,19,0.08,0.015,0.4,0.02,0.004
13.06.2022,1,,0.010,,0.01,0.003
13.06.2022,7,0.08,0.015,0.5,0.01,0.004
13.06.2022,13,,0.017,,0.02,0.010
13.06.2022,19,0.08,0.013,0.7,0.03,0.005
14.06.2022,1,,0.008,,0.00,0.001
14.06.2022,7,0.07,0.013,0.4,0.01,0.003
