Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
02.12.2021,1,,0.014,,,0.001
02.12.2021,7,0.07,,1.0,0.12,0.003
02.12.2021,13,,0.024,,,0.006
02.12.2021,19,0.07,,1.3,0.15,0.005
03.12.2021,1,,0.012,,,0.002
03.12.2021,7,0.07,,1.0,0.09,0.004
03.12.2021,13,,0.022,,,0.009
03.12.2021,19,0.07,,0.9,0.13,0.006
04.12.2021,1,,0.020,,,0.001
04.12.2021,7,0.07,,0.9,0.05,0.002
04.12.2021,13,,0.029,,,0.007
04.12.2021,19,0.07,,0.6,0.10,0.005
06.12.2021,1,,0.019,,,0.002
06.12.2021,7,0.07,,0.4,0.08,0.003
