Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
19.01.2021,1,,0.002,,,0.002
19.08.2021,7,0.07,,0.9,0.07,0.005
19.08.2021,13,,0.010,,,0.010
19.08.2021,19,0.07,,1.3,0.26,0.008
20.08.2021,1,,0.003,,,0.002
20.08.2021,7,0.07,,0.7,0.06,0.004
20.08.2021,13,,0.018,,,0.011
20.08.2021,19,0.07,,1.5,0.23,0.012
21.08.2021,1,,0.003,,,0.003
21.08.2021,7,0.07,,0.8,0.04,0.007
21.08.2021,13,,0.015,,,0.013
21.08.2021,19,0.07,,1.2,0.19,0.012
23.08.2021,1,,0.003,,,0.002
23.08.2021,7,0.07,,1.1,0.05,0.006
23.08.2021,13,,0.017,,,0.011
23.08.2021,19,0.07,,2.3,0.16,0.009
25.08.2021,1,,0.002,,,0.001
25.08.2021,7,0.07,,0.2,0.04,0.003
