Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
18.11.2021,1,,0.008,,,0.002
18.11.2021,7,0.06,,0.9,0.07,0.005
18.11.2021,13,,0.014,,,0.007
18.11.2021,19,0.07,,1.6,0.16,0.004
19.11.2021,1,,0.014,,,0.001
19.11.2021,7,0.07,,1.4,0.06,0.003
19.11.2021,13,,0.022,,,0.008
19.11.2021,19,0.07,,1.8,0.21,0.006
20.11.2021,1,,0.013,,,0.002
20.11.2021,7,0.07,,1.3,0.05,0.005
20.11.2021,13,,0.018,,,0.010
20.11.2021,19,0.07,,1.4,0.08,0.009
22.11.2021,1,,0.011,,,0.002
22.11.2021,7,0.07,,1.2,0.07,0.003
