Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
15.04.2022,1,,0.011,,0.01,0.003
15.04.2022,7,0.07,0.016,1.2,0.01,0.002
15.04.2022,13,,0.024,,0.02,0.005
15.04.2022,19,0.07,0.021,1.5,0.03,0.004
16.04.2022,1,,0.011,,0.00,0.000
16.04.2022,7,0.07,0.021,1.0,0.01,0.002
16.04.2022,13,,0.026,,0.01,0.001
16.04.2022,19,0.07,0.021,1.2,0.02,0.002
18.04.2022,1,,0.003,,0.00,0.001
18.04.2022,7,0.07,0.018,1.1,0.00,0.002
18.04.2022,13,,0.022,,0.02,0.000
18.04.2022,19,0.07,0.020,1.0,0.02,0.002
19.04.2022,1,,0.014,,0.01,0.000
19.04.2022,7,0.07,0.019,0.9,0.01,0.001
