Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
22.06.2021,1,,0.003,,0.01,0.001
22.06.2021,7,0.07,0.010,0.4,0.02,0.003
22.06.2021,13,,0.014,,0.02,0.007
22.06.2021,19,0.08,0.009,0.4,0.04,0.003
23.06.2021,1,,0.003,,0.01,0.002
23.06.2021,7,0.07,0.008,0.2,0.02,0.004
23.06.2021,13,,0.010,,0.03,0.008
23.06.2021,19,0.08,0.007,0.6,0.03,0.005
24.06.2021,1,,0.003,,0.01,0.001
24.06.2021,7,0.11,0.008,0.5,0.01,0.003
24.06.2021,13,,0.012,,0.02,0.007
24.06.2021,19,0.08,0.008,0.6,0.03,0.005
25.06.2021,1,,0.003,,0.01,0.002
25.06.2021,7,0.07,0.005,0.5,0.02,0.004
