Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Фтористий водень,Хлористий водень,Формальдегід


2021.07.05,01,,0.007,,0.09,0.000,,0.005
2021.07.05,07,0.19,,2.0,,0.001,0.06,0.007
2021.07.05,13,,,,,,,
2021.07.05,19,,,,,,,
2021.07.03,01,,0.007,,0.09,0.000,,0.003
2021.07.03,07,0.18,,1.9,,0.001,0.059,0.006
2021.07.03,13,,0.020,,0.20,0.002,,0.014
2021.07.03,19,0.19,,2.6,,0.001,0.119,0.012
2021.07.02,01,,0.008,,0.07,0.000,,0.004
2021.07.02,07,0.18,,2.3,,0.001,0.062,0.007
2021.07.02,13,,0.018,,0.24,0.002,,0.017
2021.07.02,19,0.19,,3.4,,0.002,0.138,0.015
2021.07.01,01,,0.010,,0.08,0.001,,0.005
2021.07.01,07,0.18,,3.0,,0.002,0.068,0.007
2021.07.01,13,,0.022,,0.19,0.003,,0.016
2021.07.01,19,0.18,,3.5,,0.002,0.121,0.014
2021.06.30,01,,0.008,,0.07,0.000,,0.004
2021.06.30,07,0.18,,2.3,,0.002,0.057,0.007
2021.06.30,13,,0.024,,0.25,0.003,,0.015
2021.06.30,19,0.19,,4.1,,0.003,0.104,0.013
2021.06.29,01,,0.010,,0.09,0.001,,0.003
2021.06.29,07,0.18,,2.0,,0.002,0.044,0.007
2021.06.29,13,,0.020,,0.19,0.003,,0.015
2021.06.29,19,0.18,,2.7,,0.002,0.082,0.012
