Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
23.11.2020,1,,0.047,,,0.002
23.11.2020,7,0.07,,0.6,0.06,0.005
23.11.2020,13,,0.094,,,0.007
23.11.2020,19,0.07,,0.9,0.11,0.005
24.11.2020,1,,0.035,,,0.002
24.11.2020,7,0.07,,0.7,0.11,0.005
24.11.2020,13,,0.140,,,0.008
24.11.2020,19,0.07,,1.6,0.16,0.004
25.11.2020,1,,0.049,,,0.001
25.11.2020,7,0.07,,0.7,0.09,0.003
25.11.2020,13,,0.132,,,0.009
25.11.2020,19,0.07,,1.0,0.13,0.006
26.11.2020,1,,0.037,,,0.002
26.11.2020,7,0.07,,0.6,0.09,0.004
