Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
01.09.2022,1,,0.003,,,0.002
01.09.2022,7,0.07,,0.8,0.02,0.004
01.09.2022,13,,0.020,,,0.009
01.09.2022,19,0.07,,0.9,0.09,0.007
02.09.2022,1,,0.021,,,0.005
02.09.2022,7,0.07,,1.2,0.04,0.007
02.09.2022,13,,0.048,,,0.011
02.09.2022,19,0.07,,0.9,0.07,0.007
03.09.2022,1,,0.019,,,0.006
03.09.2022,7,0.07,,1.0,0.07,0.005
03.09.2022,13,,0.066,,,0.009
03.09.2022,19,0.07,,1.2,0.11,0.006
05.09.2022,1,,0.043,,,0.007
05.09.2022,7,0.07,,1.1,0.07,0.006
