Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
05.07.2021,1,,0.002,,0.00,0.002
05.07.2021,7,0.07,0.005,0.4,0.01,0.003
05.07.2021,13,,0.008,,0.02,0.007
05.07.2021,19,0.07,0.007,0.5,0.03,0.005
06.07.2021,1,,0.002,,0.01,0.003
06.07.2021,7,0.07,0.007,0.3,0.01,0.004
06.07.2021,13,,0.010,,0.02,0.006
06.07.2021,19,0.07,0.008,0.4,0.03,0.002
07.07.2021,1,,0.002,,0.01,0.001
07.07.2021,7,0.07,0.005,0.4,0.01,0.003
07.07.2021,13,,0.010,,0.02,0.007
07.07.2021,19,0.07,0.012,0.6,0.04,0.005
08.07.2021,1,,0.002,,0.01,0.002
08.07.2021,7,0.07,0.007,0.5,0.01,0.004
