Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Фтористий водень,Хлористий водень,Формальдегід


2021.06.30,01,,0.008,,0.07,0.000,,0.004
2021.06.30,07,0.18,,2.3,,0.002,0.057,0.007
2021.06.30,13,,,,,,,
2021.06.30,19,,,,,,,
2021.06.29,01,,0.010,,0.09,0.001,,0.003
2021.06.29,07,0.18,,2.0,,0.002,0.044,0.007
2021.06.29,13,,0.020,,0.19,0.003,,0.015
2021.06.29,19,0.18,,2.7,,0.002,0.082,0.012
2021.06.26,01,,0.007,,0.10,0.001,,0.005
2021.06.26,07,0.18,,1.3,,0.002,0.067,0.008
2021.06.26,13,,0.015,,0.22,0.003,,0.016
2021.06.26,19,0.18,,1.4,,0.002,0.101,0.014
2021.06.25,01,,0.008,,0.13,0.001,,0.004
2021.06.25,07,0.18,,3.13,,0.002,0.081,0.008
2021.06.25,13,,0.024,,0.28,0.003,,0.015
2021.06.25,19,0.19,,3.6,,0.003,0.116,0.013
2021.06.24,01,,0.010,,0.15,0.001,,0.005
2021.06.24,07,0.18,,2.7,,0.002,0.088,0.008
2021.06.24,13,,0.022,,0.23,0.003,,0.015
2021.06.24,19,0.19,,4.1,,0.002,0.139,0.014
