Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Оксид азоту,Фтористий водень,Аміак,Формальдегід


2022.07.29,01,,0.005,,0.07,0.03,0.000,,0.003
2022.07.29,07,0.07,0.010,0.9,0.08,0.04,0.001,0.01,0.006
2022.07.29,13,,,,,,,,
2022.07.29,19,,,,,,,,
2022.07.28,01,,0.003,,0.07,0.04,0.001,,0.004
2022.07.28,07,0.07,0.010,0.4,0.10,0.06,0.001,0.01,0.007
2022.07.28,13,,0.017,,0.12,0.07,0.001,,0.017
2022.07.28,19,0.15,0.013,0.6,0.15,0.09,0.001,0.01,0.015
2022.07.27,01,,0.005,,0.06,0.03,0.000,,0.005
2022.07.27,07,0.07,0.010,0.8,0.08,0.04,0.001,0.01,0.008
2022.07.27,13,,0.014,,0.18,0.11,0.001,,0.015
2022.07.27,19,0.07,0.012,0.6,0.21,0.12,0.001,0.02,0.019
2022.07.26,01,,0.005,,0.05,0.03,0.001,,0.004
2022.07.26,07,0.07,0.010,0.5,0.07,0.03,0.001,0.01,0.007
2022.07.26,13,,0.013,,0.14,0.08,0.001,,0.013
2022.07.26,19,0.08,0.010,2.0,0.17,0.10,0.001,0.02,0.017
2022.07.25,01,,0.005,,0.04,0.03,0.000,,0.002
2022.07.25,07,0.07,0.010,0.3,0.05,0.03,0.000,0.01,0.005
2022.07.25,13,,0.015,,0.11,0.07,0.001,,0.016
2022.07.25,19,0.11,0.012,0.5,0.14,0.08,0.001,0.02,0.011
