Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Фтористий водень,Хлористий водень,Формальдегід


2022.06.14,01,,,,,,,
2022.06.14,07,,,1.4,,,,
2022.06.14,13,,,,,,,
2022.06.14,19,,,,,,,
2022.06.13,01,,,,,,,
2022.06.13,07,,,2.5,,,,
2022.06.13,13,,,,,,,
2022.06.13,19,,,1.5,,,,
2022.06.11,01,,,,,,,
2022.06.11,07,,,1.5,,,,
2022.06.11,13,,,,,,,
2022.06.11,19,,,2.2,,,,
2022.06.10,01,,,,,,,
2022.06.10,07,,,1.7,,,,
2022.06.10,13,,,,,,,
2022.06.10,19,,,2.4,,,,
2022.06.09,01,,,,,,,
2022.06.09,07,,,2.2,,,,
2022.06.09,13,,,,,,,
2022.06.09,19,,,1.8,,,,
2022.06.08,01,,,,,,,
2022.06.08,07,,,2.0,,,,
2022.06.08,13,,,,,,,
2022.06.08,19,,,2.6,,,,
