Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Оксид азоту,Фтористий водень,Аміак,Формальдегід


2020.10.23,01,,0.044,,0.09,0.06,0.000,,0.002
2020.10.23,07,0.11,0.055,0.8,0.11,0.07,0.001,0.01,0.005
2020.10.23,13,,,,,,,,
2020.10.23,19,,,,,,,,
2020.10.22,01,,0.044,,0.09,0.06,0.000,,0.002
2020.10.22,07,0.11,0.055,0.8,0.11,0.07,0.001,0.01,0.005
2020.10.22,13,,0.0114,,0.14,0.08,0.003,,0.006
2020.10.22,19,0.07,0.210,2.0,0.18,0.11,0.002,0.01,0.004
2020.10.21,01,,0.046,,0.08,0.04,0.001,,0.002
2020.10.21,07,0.10,0.063,1.6,0.12,0.06,0.001,0.01,0.003
2020.10.21,13,,0.114,,0.14,0.08,0.003,,0.006
2020.10.21,19,0.07,0.210,2.0,0.18,0.11,0.002,0.01,0.004
2020.10.20,01,,0.041,,0.07,0.04,0.000,,0.001
2020.10.20,07,0.07,0.055,1.4,0.11,0.05,0.001,0.01,0.002
2020.10.20,13,,0.141,,0.18,0.11,0.003,,0.006
2020.10.20,19,0.17,0.172,1.5,0.21,0.12,0.002,0.01,0.003
2020.10.19,01,,0.037,,0.06,0.04,0.001,,0.001
2020.10.19,07,0.14,0.048,0.5,0.10,0.06,0.001,0.01,0.003
2020.10.19,13,,0.064,,0.17,0.10,0.003,,0.005
2020.10.19,19,0.07,0.116,1.6,0.23,0.14,0.002,0.01,0.002
2020.10.17,01,,0.029,,0.04,0.02,0.000,,0.000
2020.10.17,07,0.07,0.033,0.7,0.07,0.04,0.002,0.00,0.002
2020.10.17,13,,0.083,,0.09,0.05,0.002,,0.005
2020.10.17,19,0.14,0.102,0.7,0.11,0.06,0.002,0.00,0.002
2020.10.16,01,,0.032,,0.08,0.05,0.001,,0.001
2020.10.16,07,0.11,0.045,1.0,0.12,0.07,0.002,0.01,0.004
2020.10.16,13,,0.105,,0.14,0.09,0.003,,0.006
2020.10.16,19,0.14,0.129,1.3,0.20,0.11,0.002,0.01,0.003
