Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
16.05.2022,1,,0.011,,0.01,0.000
16.05.2022,7,0.07,0.014,0.4,0.02,0.002
16.05.2022,13,,0.021,,0.02,0.007
16.05.2022,19,0.07,0.018,0.5,0.03,0.005
17.05.2022,1,,0.014,,0.01,0.001
17.05.2022,7,0.07,0.017,0.3,0.01,0.002
17.05.2022,13,,0.026,,0.02,0.003
17.05.2022,19,0.07,0.023,0.5,0.02,0.000
18.05.2022,1,,0.014,,0.01,0.000
18.05.2022,7,0.07,0.019,0.4,0.02,0.001
18.05.2022,13,,0.022,,0.02,0.003
18.05.2022,19,0.07,0.019,0.5,0.03,0.002
19.05.2022,1,,0.011,,0.01,0.000
19.05.2022,7,0.07,0.016,0.3,0.01,0.001
19.05.2022,13,,0.023,,0.02,0.003
19.05.2022,19,0.07,0.019,0.6,0.02,0.002
20.05.2022,1,,0.013,,0.00,0.000
20.05.2022,7,0.07,0.018,0.3,0.01,0.002
