Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
09.08.2021,1,,0.003,,,0.002
09.08.2021,7,0.07,,1.4,0.08,0.005
09.08.2021,13,,0.020,,,0.012
09.08.2021,19,0.08,,2.0,0.18,0.010
10.08.2021,1,,0.005,,,0.003
10.08.2021,7,0.07,,1.0,0.10,0.007
10.08.2021,13,,0.017,,,0.013
10.08.2021,19,0.07,,1.7,0.15,0.009
11.08.2021,1,,0.005,,,0.002
11.08.2021,7,0.07,,1.3,0.08,0.003
11.08.2021,13,,0.017,,,0.009
11.08.2021,19,0.07,,1.7,0.20,0.006
12.08.2021,1,,0.003,,,0.003
12.08.2021,7,0.07,,1.1,0.09,0.005
