Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
29.11.2021,1,,0.000,,0.00,0.002
29.11.2021,7,0.07,0.002,0.3,0.01,0.003
29.11.2021,13,,0.011,,0.02,0.005
29.11.2021,19,0.07,0.016,0.2,0.02,0.004
30.11.2021,1,,0.003,,0.01,0.000
30.11.2021,7,0.07,0.006,0.2,0.02,0.001
30.11.2021,13,,0.009,,0.02,0.004
30.11.2021,19,0.07,0.013,0.3,0.03,0.003
01.12.2021,1,,0.002,,0.00,0.001
01.12.2021,7,0.07,0.005,0.2,0.01,0.002
01.12.2021,13,,0.008,,0.02,0.005
01.12.2021,19,0.07,0.016,0.3,0.02,0.004
02.12.2021,1,,0.003,,0.01,0.000
02.12.2021,7,0.07,0.008,0.1,0.01,0.002
02.12.2021,13,,0.005,,0.02,0.003
02.12.2021,19,0.07,0.011,0.3,0.03,0.002
03.12.2021,1,,0.005,,0.01,0.001
03.12.2021,7,0.07,0.002,0.2,0.02,0.002
