Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Фтористий водень,Хлористий водень,Формальдегід


2021.09.23,01,,0.005,,0.07,0.000,,0.002
2021.09.23,07,0.11,,1.4,,0.001,0.036,0.003
2021.09.23,13,,,,,,,
2021.09.23,19,,,,,,,
2021.09.22,01,,0.006,,0.09,0.000,,0.003
2021.09.22,07,0.14,,1.2,,0.000,0.030,0.006
2021.09.22,13,,0.022,,0.20,0.001,,0.009
2021.09.22,19,0.14,,2.4,,0.001,0.093,0.010
2021.09.21,01,,0.003,,0.09,0.000,,0.002
2021.09.21,07,0.17,,1.4,,0.001,0.042,0.005
2021.09.21,13,,0.014,,0.21,0.001,,0.006
2021.09.21,19,0.11,,1.6,,0.001,0.084,0.008
2021.09.20,01,,0.006,,0.08,0.000,,0.003
2021.09.20,07,0.11,,1.3,,0.001,0.037,0.002
2021.09.20,13,,0.016,,0.20,0.001,,0.007
2021.09.20,19,0.18,,1.6,,0.001,0.097,0.009
2021.09.18,01,,0.008,,0.09,0.000,,0.004
2021.09.18,07,0.07,,1.5,,0.001,0.050,0.006
2021.09.18,13,,0.023,,0.17,0.001,,0.010
2021.09.18,19,0.18,,1.5,,0.001,0.123,0.012
2021.09.17,01,,0.005,,0.11,0.000,,0.002
2021.09.17,07,0.14,,2.0,,0.001,0.039,0.006
2021.09.17,13,,0.023,,0.22,0.002,,0.013
2021.09.17,19,0.18,,2.7,,0.001,0.109,0.016
