Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
10.02.2022,1,,0.011,,,0.002
10.02.2022,7,0.07,,0.7,0.06,0.004
10.02.2022,13,,0.022,,,0.009
10.02.2022,19,0.07,,1.4,0.15,0.005
11.02.2022,1,,0.014,,,0.002
11.02.2022,7,0.07,,0.6,0.07,0.005
11.02.2022,13,,0.025,,,0.009
11.02.2022,19,0.07,,0.9,0.10,0.008
12.02.2022,1,,0.011,,,0.002
12.02.2022,7,0.07,,0.6,0.04,0.003
12.02.2022,13,,0.018,,,0.007
12.02.2022,19,0.07,,0.7,0.11,0.010
14.02.2022,1,,0.009,,,0.002
14.02.2022,7,0.07,,0.5,0.05,0.004
