Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
25.10.2021,1,,0.006,,0.01,0.000
25.10.2021,7,0.067,0.015,0.2,0.02,0.002
25.10.2021,13,,0.014,,0.03,0.004
25.10.2021,19,0.07,0.020,0.5,0.02,0.003
26.10.2021,1,,0.005,,0.01,0.000
26.10.2021,7,0.07,0.014,0.2,0.02,0.001
26.10.2021,13,,0.011,,0.02,0.005
26.10.2021,19,0.07,0.017,0.3,0.02,0.002
27.10.2021,1,,0.003,,0.00,0.000
27.10.2021,7,0.07,0.008,0.2,0.01,0.001
27.10.2021,13,,0.013,,0.02,0.003
27.10.2021,19,0.07,0.010,0.5,0.03,0.002
28.10.2021,1,,0.000,,0.01,0.000
28.10.2021,7,0.07,0.006,0.2,0.01,0.002
28.10.2021,13,,0.005,,0.02,0.005
28.10.2021,19,0.07,0.011,0.4,0.03,0.003
29.10.2021,1,,0.003,,0.01,0.001
29.10.2021,7,0.07,0.008,0.2,0.01,0.002
