Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
19.07.2021,1,,0.003,,,0.003
19.07.2021,7,0.07,,1.5,0.08,0.006
19.07.2021,13,,0.013,,,0.007
19.07.2021,19,0.07,,2.1,0.21,0.007
20.07.2021,1,,0.002,,,0.002
20.07.2021,7,0.07,,1.3,0.06,0.003
20.07.2021,13,,0.012,,,0.011
20.07.2021,19,0.07,,1.5,0.19,0.008
21.07.2021,1,,0.003,,,0.001
21.07.2021,7,0.07,,0.9,0.06,0.003
21.07.2021,13,,0.013,,,0.007
21.07.2021,19,0.07,,1.2,0.22,0.004
22.07.2021,1,,0.003,,,0.003
22.07.2021,7,0.07,,1.1,0.05,0.005
