Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
08.08.2022,1,,0.003,,,0.001
08.08.2022,7,0.07,,1.2,0.05,0.003
08.08.2022,13,,0.010,,,0.012
08.08.2022,19,0.07,,0.9,0.13,0.009
09.08.2022,1,,0.003,,,0.002
09.08.2022,7,0.07,,1.1,0.05,0.004
09.08.2022,13,,0.010,,,0.011
09.08.2022,19,0.07,,0.9,0.14,0.007
10.08.2022,1,,0.002,,,0.002
10.08.2022,7,0.07,,1.1,0.04,0.006
10.08.2022,13,,0.008,,,0.013
10.08.2022,19,0.07,,1.2,0.12,0.007
11.08.2022,1,,0.002,,,0.002
11.08.2022,7,0.07,,0.7,0.05,0.005
