Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Фтористий водень,Хлористий водень,Формальдегід


2021.05.17,01,,0.003,,0.09,0.000,,0.003
2021.05.17,07,0.18,,1.5,,0.001,0.044,0.005
2021.05.17,13,,,,,,,
2021.05.17,19,,,,,,,
2021.05.15,01,,0.007,,0.05,0.000,,0.002
2021.05.15,07,0.18,,0.8,,0.001,0.049,0.004
2021.05.15,13,,0.007,,0.17,0.002,,0.010
2021.05.15,19,0.18,,1.1,,0.001,0.080,0.008
2021.05.14,01,,0.006,,0.06,0.000,,0.003
2021.05.14,07,0.14,,1.3,,0.001,0.059,0.006
2021.05.14,13,,0.023,,0.14,0.001,,0.009
2021.05.14,19,0.18,,1.8,,0.001,0.092,0.007
2021.05.13,01,,0.010,,0.13,0.000,,0.002
2021.05.13,07,0.18,,1.2,,0.001,0.045,0.005
2021.05.13,13,,0.019,,0.18,0.001,,0.010
2021.05.13,19,0.18,,1.6,,0.001,0.083,0.008
2021.05.12,01,,0.005,,0.10,0.000,,0.003
2021.05.12,07,0.18,,1.0,,0.001,0.041,0.006
2021.05.12,13,,0.021,,0.18,0.001,,0.010
2021.05.12,19,0.18,,1.5,,0.001,0.089,0.009
2021.05.11,01,,0.009,,0.08,0.000,,0.004
2021.05.11,07,0.17,,1.1,,0.001,0.056,0.006
2021.05.11,13,,0.020,,0.17,0.001,,0.011
2021.05.11,19,0.18,,1.4,,0.001,0.104,0.010
