Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
10.01.2022,1,,0.008,,,0.002
10.01.2022,7,0.07,,0.3,0.10,0.003
10.01.2022,13,,0.023,,,0.005
10.01.2022,19,0.07,,0.5,0.19,0.004
11.01.2022,1,,0.011,,,0.001
11.01.2022,7,0.07,,0.6,0.08,0.005
11.01.2022,13,,0.026,,,0.007
11.01.2022,19,0.07,,1.0,0.14,0.005
12.01.2022,1,,0.011,,,0.002
12.01.2022,7,0.06,,0.5,0.07,0.004
12.01.2022,13,,0.023,,,0.008
12.01.2022,19,0.06,,0.8,0.18,0.003
13.01.2022,1,,0.011,,,0.000
13.01.2022,7,0.06,,0.7,0.06,0.001
