Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
16.11.2020,1,,0.009,,0.00,0.001
16.11.2020,7,0.07,0.014,0.2,0.00,0.002
16.11.2020,13,,0.017,,0.01,0.003
16.11.2020,19,0.07,0.026,0.2,0.02,0.002
17.11.2020,1,,0.012,,0.01,0.000
17.11.2020,7,0.07,0.017,0.2,0.01,0.001
17.11.2020,13,,0.021,,0.01,0.002
17.11.2020,19,0.07,0.026,0.3,0.02,0.002
18.11.2020,1,,0.011,,0.00,0.000
18.11.2020,7,0.07,0.015,0.1,0.00,0.001
18.11.2020,13,,0.024,,0.02,0.004
18.11.2020,19,0.07,0.029,0.4,0.02,0.002
19.11.2020,1,,0.009,,0.01,0.001
19.11.2020,7,0.07,0.018,0.2,0.01,0.003
19.11.2020,13,,0.023,,0.02,0.005
19.11.2020,19,0.07,0.026,0.5,0.03,0.002
20.11.2020,1,,0.012,,0.00,0.000
20.11.2020,7,0.07,0.016,0.2,0.01,0.001
