Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
12.05.2022,1,,0.011,,0.01,0.002
12.05.2022,7,0.07,0.014,0.5,0.01,0.003
12.05.2022,13,,0.022,,0.03,0.005
12.05.2022,19,0.08,0.017,0.6,0.04,0.003
13.05.2022,1,,0.011,,0.01,0.000
13.05.2022,7,0.07,0.016,0.3,0.01,0.001
13.05.2022,13,,0.021,,0.02,0.003
13.05.2022,19,0.07,0.018,0.6,0.03,0.002
14.05.2022,1,,0.011,,0.01,0.001
14.05.2022,7,0.07,0.015,0.3,0.01,0.002
14.05.2022,13,,0.020,,0.02,0.006
14.05.2022,19,0.07,0.016,0.4,0.21,0.004
16.05.2022,1,,0.011,,0.01,0.000
16.05.2022,7,0.07,0.014,0.4,0.02,0.002
16.05.2022,13,,0.021,,0.02,0.007
16.05.2022,19,0.07,0.018,0.5,0.03,0.005
17.05.2022,1,,0.014,,0.01,0.001
17.05.2022,7,0.07,0.017,0.3,0.01,0.002
17.05.2022,13,,0.026,,0.02,0.003
17.05.2022,19,0.07,0.023,0.5,0.02,0.000
18.05.2022,1,,0.014,,0.01,0.000
18.05.2022,7,0.07,0.019,0.4,0.02,0.001
