Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
27.09.2021,1,,0.003,,,0.000
27.09.2021,7,0.07,,1.0,0.04,0.002
27.09.2021,13,,0.016,,,0.006
27.09.2021,19,0.07,,1.5,0.13,0.007
28.09.2021,1,,0.003,,,0.002
28.09.2021,7,0.07,,1.0,0.05,0.004
28.09.2021,13,,0.016,,,0.007
28.09.2021,19,0.07,,1.9,0.16,0.009
29.09.2021,1,,0.003,,,0.001
29.09.2021,7,0.07,,1.1,0.04,0.002
29.09.2021,13,,0.014,,,0.006
29.09.2021,19,0.07,,1.6,0.12,0.008
30.09.2021,1,,0.002,,,0.002
30.09.2021,7,0.07,0.011,1.3,0.06,0.003
