Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Оксид азоту,Фтористий водень,Аміак,Формальдегід


2021.08.18,01,,0.003,,0.08,0.05,0.000,,0.003
2021.08.18,07,0.07,0.012,1.4,0.09,0.05,0.001,0.00,0.007
2021.08.18,13,,,,,,,,
2021.08.18,19,,,,,,,,
2021.08.17,01,,"0,003",,"0,10","0,06","0,000",,"0,005"
2021.08.17,07,"0,11","0,015","1,9","0,11","0,07","0,001","0,01","0,008"
2021.08.17,13,,0.020,,0.18,0.11,0.002,,0.018
2021.08.17,19,0.11,0.019,2.2,0.25,0.16,0.001,0.01,0.015
2021.08.16,01,,0.005,,0.08,0.05,0.001,,0.004
2021.08.16,07,0.11,0.017,1.7,0.10,0.06,0.001,0.00,0.007
2021.08.16,13,,"0,020",,"0,15","0,10","0,002",,"0,019"
2021.08.16,19,"0,11","0,019","3,2","0,24","0,15","0,001","0,01","0,016"
2021.08.14,01,,0.003,,0.05,0.03,0.000,,0.003
2021.08.14,07,0.11,0.015,1.7,0.08,0.05,0.001,0.00,0.005
2021.08.14,13,,0.017,,0.13,0.08,0.001,,0.019
2021.08.14,19,0.11,0.015,2.3,0.17,0.11,0.001,0.01,0.017
2021.08.13,01,,0.005,,0.08,0.05,0.000,,0.002
2021.08.13,07,0.11,0.016,1.5,0.10,0.06,0.001,0.00,0.006
2021.08.13,13,,0.021,,0.17,0.11,0.002,,0.017
2021.08.13,19,0.07,0.020,2.7,0.25,0.16,0.002,0.01,0.016
2021.08.12,01,,0.005,,0.07,0.04,0.000,,0.003
2021.08.12,07,0.11,0.017,1.8,0.08,0.05,0.001,0.00,0.005
2021.08.12,13,,0.020,,0.12,0.08,0.002,,0.018
2021.08.12,19,0.11,0.018,3.0,0.18,0.11,0.001,0.01,0.013
