Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
07.10.2021,1,,0.003,,,0.000
07.10.2021,7,0.07,,1.0,0.09,0.002
07.10.2021,13,,0.014,,,0.006
07.10.2021,19,0.07,,0.9,0.11,0.004
08.10.2021,1,,0.005,,,0.002
08.10.2021,7,0.07,,1.1,0.05,0.003
08.10.2021,13,,0.014,,,0.008
08.10.2021,19,0.07,,1.4,0.13,0.005
09.10.2021,1,,0.005,,,0.001
09.10.2021,7,0.07,,0.8,0.07,0.005
09.10.2021,13,,0.016,,,0.009
09.10.2021,19,0.07,,0.9,0.12,0.007
11.10.2021,1,,0.005,,,0.002
11.10.2021,7,0.07,,1.2,0.08,0.004
