Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Оксид азоту,Фтористий водень,Аміак,Формальдегід


2022.01.10,01,,0.009,,0.07,0.04,0.000,,0.002
2022.01.10,07,0.10,0.019,0.6,0.10,0.06,0.001,0.01,0.005
2022.01.10,13,,,,,,,,
2022.01.10,19,,,,,,,,
2022.01.08,01,,0.011,,0.08,0.04,0.000,,0.002
2022.01.08,07,0.07,0.019,0.6,0.11,0.06,0.001,0.00,0.004
2022.01.08,13,,0.025,,0.16,0.09,0.001,,0.007
2022.01.08,19,0.10,0.023,0.8,0.18,0.11,0.001,0.01,0.009
2022.01.06,01,,0.010,,0.09,0.05,0.000,,0.002
2022.01.06,07,0.07,0.017,1.9,0.12,0.07,0.001,0.00,0.006
2022.01.06,13,,0.025,,0.17,0.11,0.001,,0.009
2022.01.06,19,0.07,0.027,1.3,0.22,0.13,0.001,0.01,0.007
2022.01.05,01,,0.009,,0.08,0.04,0.000,,0.003
2022.01.05,07,0.07,0.017,1.3,0.11,0.06,0.001,0.00,0.005
2022.01.05,13,,0.026,,0.13,0.08,0.001,,0.010
2022.01.05,19,0.11,0.026,2.4,0.21,0.13,0.001,0.01,0.008
2022.01.04,01,,0.011,,0.06,0.03,0.000,,0.002
2022.01.04,07,0.07,0.019,2.5,0.10,0.05,0.001,0.01,0.006
2022.01.04,13,,0.025,,0.15,0.09,0.001,,0.010
2022.01.04,19,0.07,0.024,1.6,0.19,0.12,0.001,0.01,0.009
