Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Фтористий водень,Хлористий водень,Формальдегід


2022.06.08,01,,,,,,,
2022.06.08,07,,,2.0,,,,
2022.06.08,13,,,,,,,
2022.06.08,19,,,,,,,
2022.06.07,01,,,,,,,
2022.06.07,07,,,3.2,,,,
2022.06.07,13,,,,,,,
2022.06.07,19,,,3.1,,,,
2022.06.06,01,,,,,,,
2022.06.06,07,,,1.7,,,,
2022.06.06,13,,,,,,,
2022.06.06,19,,,4.9,,,,
2022.06.04,01,,,,,,,
2022.06.04,07,,,1.4,,,,
2022.06.04,13,,,,,,,
2022.06.04,19,,,1.5,,,,
2022.06.03,01,,,,,,,
2022.06.03,07,,,2.1,,,,
2022.06.03,13,,,,,,,
2022.06.03,19,,,3.5,,,,
2022.06.02,01,,,,,,,
2022.06.02,07,,,2.2,,,,
2022.06.02,13,,,,,,,
2022.06.02,19,,,3.0,,,,
