Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
10.02.2022,1,,0.000,,0.00,0.002
10.02.2022,7,0.07,0.005,0.3,0.01,0.003
10.02.2022,13,,0.008,,0.02,0.005
10.02.2022,19,0.07,0.011,0.5,0.01,0.002
11.02.2022,1,,0.003,,0.00,0.001
11.02.2022,7,0.07,0.006,0.4,0.00,0.004
11.02.2022,13,,0.009,,0.02,0.006
11.02.2022,19,0.07,0.013,0.5,0.02,0.003
12.02.2022,1,,0.000,,0.00,0.000
12.02.2022,7,0.07,0.005,0.2,0.01,0.002
12.02.2022,13,,0.008,,0.02,0.005
12.02.2022,19,0.07,0.011,0.3,0.01,0.002
14.02.2022,1,,0.003,,0.00,0.001
14.02.2022,7,0.07,0.002,0.2,0.01,0.003
14.02.2022,13,,0.000,,0.02,0.005
14.02.2022,19,0.07,0.014,0.5,0.01,0.004
15.02.2022,1,,0.003,,0.00,0.000
15.02.2022,7,0.07,0.006,0.3,0.01,0.002
