Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Фтористий водень,Хлористий водень,Формальдегід


2021.12.10,01,,0.015,,0.09,0.001,,0.004
2021.12.10,07,0.14,,1.3,,0.001,0.047,0.005
2021.12.10,13,,,,,,,
2021.12.10,19,,,,,,,
2021.12.09,01,,0.012,,0.08,0.000,,0.003
2021.12.09,07,0.17,,1.2,,0.001,0.039,0.007
2021.12.09,13,,0.026,,0.21,0.002,,0.012
2021.12.09,19,0.17,,1.7,,0.001,0.108,0.009
2021.12.08,01,,0.009,,0.07,0.000,,0.002
2021.12.08,07,0.17,,1.0,,0.001,0.027,0.004
2021.12.08,13,,0.025,,0.18,0.001,,0.010
2021.12.08,19,0.17,,1.7,,0.001,0.097,0.009
2021.12.07,01,,0.012,,0.09,0.000,,0.002
2021.12.07,07,0.17,,1.2,,0.001,0.032,0.005
2021.12.07,13,,0.021,,0.17,0.001,,0.008
2021.12.07,19,0.17,,1.3,,0.001,0.081,0.007
2021.12.06,01,,0.020,,0.10,0.000,,0.002
2021.12.06,07,0.17,,1.1,,0.001,0.028,0.004
2021.12.06,13,,0.025,,0.02,0.001,,0.009
2021.12.06,19,0.17,,1.7,,0.001,0.097,0.009
