Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
19.07.2021,1,,0.002,,0.01,0.002
19.07.2021,7,0.07,0.005,0.5,0.01,0.003
19.07.2021,13,,0.009,,0.02,0.006
19.07.2021,19,0.07,0.007,0.6,0.03,0.003
20.07.2021,1,,0.002,,0.01,0.001
20.07.2021,7,0.07,0.005,0.4,0.01,0.004
20.07.2021,13,,0.008,,0.02,0.007
20.07.2021,19,0.08,0.007,0.4,0.02,0.003
21.07.2021,1,,0.002,,0.00,0.000
21.07.2021,7,0.07,0.007,0.4,0.01,0.002
21.07.2021,13,,0.008,,0.01,0.003
21.07.2021,19,0.07,0.007,0.5,0.02,0.003
22.07.2021,1,,0.002,,0.01,0.001
22.07.2021,7,0.07,0.007,0.5,0.01,0.001
22.07.2021,13,,0.010,,0.02,0.004
22.07.2021,19,0.07,0.008,0.6,0.03,0.003
23.07.2021,1,,0.002,,0.01,0.001
23.07.2021,7,0.07,0.005,0.4,0.01,0.002
