Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
15.07.2021,1,,0.002,,0.01,0.001
15.07.2021,7,0.07,0.005,0.6,0.01,0.005
15.07.2021,13,,0.014,,0.02,0.006
15.07.2021,19,0.08,0.007,0.6,0.04,0.004
16.07.2021,1,,0.002,,0.01,0.002
16.07.2021,7,0.07,0.005,0.5,0.02,0.006
16.07.2021,13,,0.010,,0.02,0.007
16.07.2021,19,0.07,0.009,0.7,0.04,0.003
17.07.2021,1,,0.002,,0.01,0.003
17.07.2021,7,0.07,0.007,0.4,0.01,0.004
17.07.2021,13,,0.010,,0.02,0.008
17.07.2021,19,0.07,0.005,0.5,0.03,0.005
19.07.2021,1,,0.002,,0.01,0.002
19.07.2021,7,0.07,0.005,0.5,0.01,0.003
