Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Оксид азоту,Фтористий водень,Аміак,Формальдегід


2021.08.28,01,,0.003,,0.05,0.03,0.000,,0.002
2021.08.28,07,0.07,0.015,1.4,0.06,0.03,0.000,0.00,0.004
2021.08.28,13,,,,,,,,
2021.08.28,19,,,,,,,,
2021.08.27,01,,0.003,,0.05,0.03,0.000,,0.003
2021.08.27,07,0.07,0.011,1.0,0.07,0.04,0.000,0.00,0.006
2021.08.27,13,,0.020,,0.15,0.07,0.001,,0.011
2021.08.27,19,0.07,0.018,2.9,0.14,0.05,0.001,0.013,0.009
2021.08.26,01,,0.005,,0.06,0.04,0.000,,0.002
2021.08.26,07,0.07,0.015,1.1,0.08,0.04,0.000,0.00,0.004
2021.08.26,13,,0.016,,0.13,0.07,0.001,,0.010
2021.08.26,19,0.07,0.016,1.6,0.16,0.07,0.000,0.01,0.008
2021.08.25,01,,0.005,,0.07,0.04,0.000,,0.002
2021.08.25,07,0.07,0.011,0.7,0.09,0.06,0.000,0.00,0.006
2021.08.25,13,,0.018,,0.14,0.09,0.001,,0.012
2021.08.25,19,0.07,0.016,2.1,0.18,0.11,0.001,0.00,0.008
2021.08.23,01,,0.005,,0.05,0.03,0.001,,0.005
2021.08.23,07,0.07,0.015,1.6,0.08,0.05,0.001,0.00,0.007
2021.08.23,13,,0.018,,0.11,0.07,0.001,,0.014
2021.08.23,19,0.07,0.015,2.7,0.19,0.11,0.002,0.01,0.011
