Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Оксид азоту,Фтористий водень,Аміак,Формальдегід


2021.10.29,01,,0.008,,0.09,0.05,0.001,,0.002
2021.10.29,07,0.07,0.019,1.4,0.10,0.06,0.001,0.01,0.004
2021.10.29,13,,,,,,,,
2021.10.29,19,,,,,,,,
2021.10.28,01,,0.011,,0.07,0.04,0.000,,0.002
2021.10.28,07,0.11,0.017,1.5,0.09,0.05,0.001,0.01,0.003
2021.10.28,13,,0.020,,0.19,0.11,0.001,,0.011
2021.10.28,19,0.11,0.027,2.1,0.23,0.14,0.001,0.02,0.008
2021.10.27,01,,0.015,,0.10,0.06,0.000,,0.002
2021.10.27,07,0.10,0.019,1.1,0.11,0.07,0.001,0.01,0.005
2021.10.27,13,,0.022,,0.17,0.11,0.001,,0.009
2021.10.27,19,0.07,0.025,1.6,0.20,0.13,0.001,0.02,0.007
2021.10.26,01,,0.021,,0.08,0.05,0.000,,0.002
2021.10.26,07,0.07,0.030,1.5,0.10,0.06,0.001,0.01,0.003
2021.10.26,13,,0.026,,0.17,0.10,0.001,,0.010
2021.10.26,19,0.14,0.037,1.5,0.21,0.13,0.001,0.01,0.007
2021.10.25,01,,0.032,,0.12,0.07,0.000,,0.002
2021.10.25,07,0.10,0.048,1.4,0.14,0.08,0.001,0.01,0.005
2021.10.25,13,,0.042,,0.17,0.11,0.001,,0.009
2021.10.25,19,0.10,0.051,2.1,0.23,0.15,0.001,0.01,0.006
2021.10.23,01,,0.013,,0.10,0.06,0.000,,0.002
2021.10.23,07,0.07,0.016,1.4,0.11,0.07,0.001,0.00,0.003
2021.10.23,13,,0.076,,0.17,0.11,0.001,,0.010
2021.10.23,19,0.11,0.062,1.8,0.24,0.15,0.001,0.01,0.007
