Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
22.06.2022,1,,0.010,,,0.001
22.06.2022,7,0.07,,1.1,0.08,0.004
22.06.2022,13,,0.016,,,0.008
22.06.2022,19,0.07,,1.3,0.13,0.006
23.06.2022,1,,0.008,,,0.002
23.06.2022,7,0.07,,1.0,0.10,0.004
23.06.2022,13,,0.017,,,0.012
23.06.2022,19,0.07,,1.5,0.15,0.009
24.06.2022,1,,0.008,,,0.003
24.06.2022,7,0.07,,1.4,0.07,0.006
24.06.2022,13,,0.018,,,0.013
24.06.2022,19,0.07,,1.9,0.13,0.010
25.06.2022,1,,0.010,,,0.002
25.06.2022,7,0.07,,1.5,0.08,0.006
25.06.2022,13,,0.015,,,0.014
25.06.2022,19,0.07,,1.9,0.17,0.010
27.06.2022,1,,0.008,,,0.003
27.06.2022,7,0.07,,1.6,0.07,0.007
