Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Фтористий водень,Хлористий водень,Формальдегід


2020.10.20,01,,0.066,,0.11,0.000,,0.001
2020.10.20,07,0.18,,1.5,,0.001,0.013,0.004
2020.10.20,13,,,,,,,
2020.10.20,19,,,,,,,
2020.10.19,01,,0.053,,0.11,0.001,,0.002
2020.10.19,07,0.17,,0.5,,0.001,0.019,0.006
2020.10.19,13,,0.141,,0.17,0.002,,0.007
2020.10.19,19,0.17,,1.6,,0.002,0.08,0.003
2020.10.17,01,,0.048,,0.06,0.001,,0.002
2020.10.17,07,0.14,,0.8,,0.002,0.025,0.004
2020.10.17,13,,0.120,,0.13,0.002,,0.005
2020.10.17,19,0.18,,0.7,,0.002,0.076,0.002
2020.10.16,01,,0.042,,0.16,0.001,,0.002
2020.10.16,07,0.18,,1.0,,0.002,0.050,0.006
2020.10.16,13,,0.140,,0.22,0.003,,0.007
2020.10.16,19,0.18,,1.4,,0.002,0.087,0.004
2020.10.15,01,,0.052,,0.13,0.001,,0.002
2020.10.15,07,0.10,,0.9,,0.002,0.042,0.006
2020.10.15,13,,0.152,,0.24,0.003,,0.008
2020.10.15,19,0.18,,1.5,,0.002,0.102,0.007
2020.10.13,01,,0.046,,0.11,0.001,,0.003
2020.10.13,07,0.18,,1.5,,0.002,0.029,0.006
2020.10.13,13,,0.144,,0.21,0.003,,0.009
2020.10.13,19,0.18,,1.8,,0.002,0.076,0.007
