Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
04.07.2022,1,,0.003,,0.01,0.002
04.07.2022,7,0.07,0.007,0.6,0.01,0.004
04.07.2022,13,,0.013,,0.02,0.008
04.07.2022,19,0.08,0.010,0.9,0.03,0.006
05.07.2022,1,,0.003,,0.01,0.002
05.07.2022,7,0.07,0.008,0.6,0.02,0.003
05.07.2022,13,,0.010,,0.03,0.010
05.07.2022,19,0.08,0.007,1.1,0.04,0.009
06.07.2022,1,,0.003,,0.02,0.003
06.07.2022,7,0.07,0.007,0.9,0.02,0.008
06.07.2022,13,,0.010,,0.04,0.008
06.07.2022,19,0.07,0.009,0.9,0.03,0.002
07.07.2022,1,,0.003,,0.01,0.000
07.07.2022,7,0.07,0.008,0.5,0.01,0.001
07.07.2022,13,,0.010,,0.02,0.005
07.07.2022,19,0.07,0.008,1.0,0.03,0.003
08.07.2022,1,,0.003,,0.01,0.001
08.07.2022,7,0.07,0.008,0.4,0.02,0.002
