Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
01.11.2021,1,,0.000,,0.00,0.001
01.11.2021,7,0.07,0.006,0.3,0.01,0.002
01.11.2021,13,,0.010,,0.02,0.006
01.11.2021,19,0.07,0.014,0.4,0.02,0.004
02.11.2021,1,,0.003,,0.01,0.002
02.11.2021,7,0.07,0.000,0.2,0.01,0.003
02.11.2021,13,,0.006,,0.02,0.006
02.11.2021,19,0.07,0.011,0.4,0.02,0.002
03.11.2021,1,,0.000,,0.00,0.000
03.11.2021,7,0.07,0.003,0.2,0.01,0.001
03.11.2021,13,,0.011,,0.02,0.005
03.11.2021,19,0.07,0.014,0.5,0.01,0.003
04.11.2021,1,,0.008,,0.00,0.001
04.11.2021,7,0.07,0.012,0.3,0.00,0.002
