Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Оксид азоту,Фтористий водень,Аміак,Формальдегід


2022.07.06,01,,0.007,,0.07,0.04,0.001,,0.005
2022.07.06,07,0.07,0.012,2.1,0.10,0.06,0.001,0.01,0.009
2022.07.06,13,,,,,,,,
2022.07.06,19,,,,,,,,
2022.07.05,01,,0.008,,0.05,0.03,0.001,,0.004
2022.07.05,07,0.07,0.015,1.8,0.07,0.04,0.001,0.01,0.008
2022.07.05,13,,0.015,,0.13,0.08,0.002,,0.019
2022.07.05,19,0.08,0.012,2.6,0.18,0.11,0.001,0.02,0.016
2022.07.04,01,,0.007,,0.07,0.04,0.001,,0.005
2022.07.04,07,0.07,0.013,2.1,0.12,0.07,0.001,0.01,0.009
2022.07.04,13,,0.017,,0.10,0.06,0.002,,0.019
2022.07.04,19,0.11,0.015,2.3,0.14,0.09,0.002,0.02,0.015
2022.07.02,01,,0.008,,0.06,0.03,0.001,,0.004
2022.07.02,07,0.07,0.013,1.8,0.10,0.06,0.001,0.01,0.007
2022.07.02,13,,0.017,,0.12,0.07,0.002,,0.015
2022.07.02,19,0.11,0.013,1.8,0.18,0.11,0.001,0.02,0.017
2022.07.01,01,,0.008,,0.08,0.05,0.000,,0.005
2022.07.01,07,0.07,0.015,1.9,0.13,0.08,0.001,0.01,0.008
2022.07.01,13,,0.018,,0.16,0.10,0.001,,0.018
2022.07.01,19,0.08,0.015,2.1,0.21,0.13,0.001,0.01,0.016
2022.06.30,01,,0.008,,0.07,0.04,0.000,,0.003
2022.06.30,07,0.14,0.013,2.3,0.11,0.06,0.001,0.01,0.007
2022.06.30,13,,0.017,,0.15,0.09,0.001,,0.016
2022.06.30,19,0.08,0.015,1.8,0.13,0.08,0.001,0.01,0.008
