Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Оксид азоту,Фтористий водень,Аміак,Формальдегід


2021.09.27,01,,"0,005",,"0,07","0,04","0,000",,"0,000"
2021.09.27,07,"0,07","0,016","1,7","0,09","0,05","0,001","0,01","0,002"
2021.09.27,13,,,,,,,,
2021.09.27,19,,,,,,,,
2021.09.25,01,,"0,005",,"0,08","0,05","0,000",,"0,002"
2021.09.25,07,"0,07","0,016","1,4","0,10","0,06","0,001","0,00","0,005"
2021.09.25,13,,"0,022",,"0,21","0,12","0,001",,"0,007"
2021.09.25,19,"0,07","0,019","1,5","0,20","0,10","0,001","0,01","0,006"
2021.09.24,01,,0.003,,0.09,0.05,0.000,,0.000
2021.09.24,07,0.07,0.006,1.5,0.11,0.07,0.000,0.00,0.002
2021.09.24,13,,0.016,,0.19,0.10,0.001,,0.006
2021.09.24,19,0.14,0.015,2.6,0.17,0.08,0.001,0.01,0.008
2021.09.23,01,,0.006,,0.10,0.06,0.000,,0.002
2021.09.23,07,0.11,0.011,1.5,0.12,0.07,0.000,0.00,0.003
2021.09.23,13,,0.017,,0.16,0.10,0.001,,0.002
2021.09.23,19,0.07,0.009,2.6,0.20,0.12,0.001,0.01,0.005
2021.09.22,01,,0.005,,0.09,0.05,0.000,,0.000
2021.09.22,07,0.11,0.009,1.4,0.11,0.07,0.000,0.00,0.002
2021.09.22,13,,0.022,,0.15,0.09,0.001,,0.004
2021.09.22,19,0.14,0.014,2.7,0.18,0.11,0.001,0.01,0.007
2021.09.21,01,,0.003,,0.08,0.05,0.000,,0.002
2021.09.21,07,0.11,0.013,1.4,0.09,0.06,0.001,0.00,0.004
2021.09.21,13,,0.020,,0.17,0.11,0.001,,0.006
2021.09.21,19,0.07,0.013,1.7,0.24,0.15,0.001,0.01,0.008
