Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Фтористий водень,Хлористий водень,Формальдегід


2022.07.26,01,,0.005,,0.07,0.000,,0.005
2022.07.26,07,0.18,,0.9,,0.001,0.058,0.007
2022.07.26,13,,,,,,,
2022.07.26,19,,,,,,,
2022.07.25,01,,0.005,,0.05,0.000,,0.004
2022.07.25,07,0.11,,0.5,,0.000,0.050,0.006
2022.07.25,13,,0.015,,0.17,0.001,,0.017
2022.07.25,19,0.11,,0.7,,0.001,0.120,0.013
2022.07.23,01,,0.005,,0.05,0.000,,0.003
2022.07.23,07,0.11,,1.1,,0.001,0.076,0.007
2022.07.23,13,,0.015,,0.14,0.001,,0.014
2022.07.23,19,0.15,,0.8,,0.001,0.138,0.005
2022.07.22,01,,0.005,,0.08,0.000,,0.004
2022.07.22,07,0.11,,0.5,,0.000,0.064,0.008
2022.07.22,13,,0.015,,0.13,0.001,,0.012
2022.07.22,19,0.19,,0.7,,0.001,0.118,0.013
2022.07.21,01,,0.007,,0.06,0.000,,0.005
2022.07.21,07,0.14,,0.3,,0.001,0.051,0.007
2022.07.21,13,,0.013,,0.11,0.001,,0.012
2022.07.21,19,0.19,,0.7,,0.001,0.123,0.015
2022.07.20,01,,0.003,,0.08,0.000,,0.004
2022.07.20,07,0.11,,0.4,,0.000,0.045,0.006
2022.07.20,13,,0.015,,0.14,0.001,,0.011
2022.07.20,19,0.15,,0.3,,0.001,0.105,0.013
