Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
13.01.2022,1,,0.009,,0.00,0.000
13.01.2022,7,0.06,0.015,0.2,0.01,0.001
13.01.2022,13,,0.017,,0.02,0.004
13.01.2022,19,0.07,0.014,0.5,0.01,0.003
14.01.2022,1,,0.008,,0.00,0.001
14.01.2022,7,0.07,0.012,0.4,0.00,0.002
14.01.2022,13,,0.016,,0.01,0.005
14.01.2022,19,0.07,0.017,0.6,0.02,0.004
15.01.2021,1,,0.008,,0.01,0.001
15.01.2022,7,0.07,0.016,0.2,0.01,0.003
15.01.2022,13,,0.022,,0.02,0.005
15.01.2022,19,0.07,0.020,0.3,0.01,0.002
17.01.2022,1,,0.009,,0.00,0.000
17.01.2022,7,0.07,0.016,0.2,0.01,0.002
