Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
03.06.2021,1,,0.005,,,0.001
03.06.2021,7,0.07,,0.6,0.06,0.003
03.06.2021,13,,0.015,,,0.009
03.06.2021,19,0.07,,1.7,0.12,0.007
04.06.2021,1,,0.003,,,0.002
04.06.2021,7,0.07,,1.0,0.04,0.004
04.06.2021,13,,0.016,,,0.007
04.06.2021,19,0.07,,1.5,0.13,0.006
05.06.2021,1,,0.005,,,0.002
05.06.2021,7,0.07,,0.6,0.06,0.005
05.06.2021,13,,0.017,,,0.008
05.06.2021,19,0.07,,0.8,0.14,0.010
07.06.2021,1,,0.005,,,0.001
07.06.2021,7,0.07,,0.7,0.05,0.002
