Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
12.01.2021,1,,0.011,,0.01,0.001
12.01.2021,7,0.07,0.016,0.3,0.01,0.002
12.01.2021,13,,0.020,,0.02,0.005
12.01.2021,19,0.068,0.030,0.5,0.03,0.003
13.01.2021,1,,0.014,,0.00,0.000
13.01.2021,7,0.07,0.017,0.3,0.01,0.002
13.01.2021,13,,0.024,,0.02,0.004
13.01.2021,19,0.07,0.033,0.4,0.02,0.002
14.01.2021,1,,0.011,,0.01,0.000
14.01.2021,7,0.07,0.016,0.3,0.01,0.001
14.01.2021,13,,0.019,,0.02,0.003
14.01.2021,19,0.07,0.024,0.3,0.03,0.002
15.01.2021,1,,0.008,,0.01,0.000
15.01.2021,7,0.07,0.013,0.2,0.02,0.001
15.01.2021,13,,0.027,,0.02,0.002
15.01.2021,19,0.07,0.036,0.3,0.03,0.002
16.01.2021,1,,0.016,,0.01,0.000
16.01.2021,7,0.06,0.020,0.1,0.01,0.001
