Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Оксид азоту,Фтористий водень,Аміак,Формальдегід


2022.06.03,01,,0.015,,0.05,0.03,0.000,,0.003
2022.06.03,07,0.07,0.021,2.3,0.07,0.04,0.001,0.01,0.006
2022.06.03,13,,,,,,,,
2022.06.03,19,,,,,,,,
2022.06.02,01,,0.018,,0.07,0.04,0.001,,0.005
2022.06.02,07,0.11,0.023,2.0,0.09,0.05,0.001,0.01,0.007
2022.06.02,13,,0.030,,0.13,0.08,0.001,,0.014
2022.06.02,19,0.11,0.028,3.4,0.15,0.10,0.001,0.01,0.008
2022.06.01,01,,0.018,,0.08,0.04,0.000,,0.004
2022.06.01,07,0.07,0.022,2.6,0.10,0.06,0.001,0.01,0.006
2022.06.01,13,,0.028,,0.16,0.09,0.002,,0.013
2022.06.01,19,0.08,0.026,2.7,0.18,0.11,0.001,0.01,0.015
2022.05.31,01,,0.019,,0.06,0.04,0.000,,0.002
2022.05.31,07,0.07,0.024,1.8,0.08,0.05,0.001,0.01,0.004
2022.05.31,13,,0.029,,0.13,0.08,0.001,,0.011
2022.05.31,19,0.07,0.027,2.2,0.17,0.11,0.001,0.01,0.014
2022.05.30,01,,0.019,,0.05,0.03,0.000,,0.002
2022.05.30,07,0.07,0.023,1.6,0.07,0.04,0.001,0.01,0.006
2022.05.30,13,,0.032,,0.10,0.06,0.001,,0.012
2022.05.30,19,0.11,0.031,2.0,0.11,0.07,0.001,0.01,0.009
2022.05.28,01,,0.016,,0.05,0.03,0.000,,0.002
2022.05.28,07,0.07,0.022,1.3,0.02,0.04,0.001,0.01,0.006
2022.05.28,13,,0.025,,0.09,0.05,0.001,,0.016
2022.05.28,19,0.16,0.022,1.6,0.10,0.01,0.010,0.01,0.011
