Дата,Строк відбору,Пил,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Формальдегід
11.08.2022,1,,0.002,,,0.002
11.08.2022,7,0.07,,0.7,0.05,0.005
11.08.2022,13,,0.013,,,0.010
11.08.2022,19,0.07,,0.9,0.05,0.003
12.08.2022,1,,0.005,,,0.003
12.08.2022,7,0.07,,1.0,0.06,0.004
12.08.2022,13,,0.015,,,0.012
12.08.2022,19,0.07,,1.7,0.11,0.005
13.08.2022,1,,0.008,,,0.002
13.08.2022,7,0.07,,1.1,0.03,0.007
13.08.2022,13,,0.021,,,0.013
13.08.2022,19,0.07,,1.8,0.06,0.006
15.08.2022,1,,0.007,,,0.001
15.08.2022,7,0.07,,2.3,0.03,0.005
