Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Фтористий водень,Хлористий водень,Формальдегід


2021.09.17,01,,0.005,,0.11,0.000,,0.002
2021.09.17,07,0.14,,2.0,,0.001,0.039,0.006
2021.09.17,13,,,,,,,
2021.09.17,19,,,,,,,
2021.09.16,01,,0.006,,0.10,0.000,,0.003
2021.09.16,07,0.14,,2.1,,0.001,0.052,0.005
2021.09.16,13,,0.021,,0.19,0.002,,0.016
2021.09.16,19,0.18,,3.4,,0.002,0.117,0.013
2021.09.15,01,,0.006,,0.09,0.000,,0.002
2021.09.15,07,0.18,,2.4,,0.001,0.041,0.006
2021.09.15,13,,0.023,,0.25,0.001,,0.017
2021.09.15,19,0.18,,3.4,,0.001,0.123,0.015
2021.09.14,01,,0.007,,0.05,0.000,,0.003
2021.09.14,07,0.18,,1.4,,0.001,0.047,0.007
2021.09.14,13,,0.023,,0.18,0.002,,0.019
2021.09.14,19,0.18,,3.5,,0.001,0.09,0.006
2021.09.13,01,,0.007,,0.07,0.000,,0.004
2021.09.13,07,0.14,,1.1,,0.001,0.07,0.007
2021.09.13,13,,0.023,,0.14,0.001,,0.021
2021.09.13,19,0.19,,2.7,,0.002,0.11,0.017
