Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Оксид азоту,Фтористий водень,Аміак,Формальдегід


2021.03.17,01,,0.070,,0.07,0.05,0.000,,0.003
2021.03.17,07,0.07,0.075,1.2,0.09,0.05,0.001,0.01,0.006
2021.03.17,13,,,,,,,,
2021.03.17,19,,,,,,,,
2021.03.16,01,,0.067,,0.05,0.03,0.000,,0.002
2021.03.16,07,0.10,0.072,1.7,0.12,0.07,0.001,0.01,0.005
2021.03.16,13,,0.199,,0.16,0.10,0.001,,0.010
2021.03.16,19,0.14,0.217,1.7,0.22,0.14,0.001,0.02,0.008
2021.03.15,01,,0.073,,0.07,0.05,0.000,,0.003
2021.03.15,07,0.07,0.078,2.0,0.09,0.06,0.001,0.01,0.005
2021.03.15,13,,0.180,,0.17,0.10,0.001,,0.007
2021.03.15,19,0.17,0.197,1.7,0.20,0.13,0.001,0.01,0.002
2021.03.13,01,,0.072,,0.07,0.04,0.000,,0.002
2021.03.13,07,0.14,0.075,0.9,0.10,0.06,0.001,0.00,0.005
2021.03.13,13,,0.192,,0.14,0.09,0.001,,0.009
2021.03.13,19,0.13,0.206,1.3,0.21,0.13,0.001,0.01,0.008
2021.03.12,01,,0.076,,0.05,0.03,0.000,,0.001
2021.03.12,07,0.10,0.079,1.4,0.10,0.06,0.001,0.00,0.003
2021.03.12,13,,0.190,,0.18,0.11,0.001,,0.006
2021.03.12,19,0.17,0.204,2.5,0.25,0.16,0.001,0.01,0.005
2021.03.11,01,,0.077,,0.10,0.06,0.006,,0.002
2021.03.11,07,0.18,0.086,1.8,0.12,0.07,0.001,0.01,0.005
2021.03.11,13,,0.209,,0.16,0.10,0.001,,0.007
2021.03.11,19,0.17,0.229,2.5,0.24,0.15,0.001,0.01,0.004
