Дата,Строк відбору,Завислі речовини,Діоксид сірки,Оксид вуглецю,Діоксид азоту,Фтористий водень,Хлористий водень,Формальдегід


2021.10.18,01,,0.010,,0.07,0.000,,0.002
2021.10.18,07,0.17,,1.3,,0.001,0.053,0.006
2021.10.18,13,,,,,,,
2021.10.18,19,,,,,,,
2021.10.16,01,,0.008,,0.07,0.001,,0.003
2021.10.16,07,0.17,,1.4,,0.001,0.040,0.006
2021.10.16,13,,0.022,,0.19,0.002,,0.010
2021.10.16,19,0.18,,1.4,,0.001,0.103,0.007
2021.10.15,01,,0.006,,0.09,0.000,,0.002
2021.10.15,07,0.17,,1.5,,0.001,0.051,0.005
2021.10.15,13,,0.022,,0.16,0.002,,0.011
2021.10.15,19,0.18,,2.5,,0.001,0.107,0.010
2021.10.13,01,,0.008,,0.08,0.000,,0.003
2021.10.13,07,0.18,,1.5,,0.001,0.046,0.006
2021.10.13,13,,0.024,,0.18,0.001,,0.010
2021.10.13,19,0.18,,2.6,,0.001,0.128,0.006
2021.10.12,01,,0.008,,0.06,0.000,,0.002
2021.10.12,07,0.14,,1.6,,0.001,0.040,0.006
2021.10.12,13,,0.024,,0.22,0.002,,0.010
2021.10.12,19,0.18,,2.6,,0.001,0.121,0.007
